eventID,eventName,eventDescription,eventDate,eventDay,complete,updated
gdfgdg,pay geico bill,,2021-12-26 10:30:00-05:00,Sunday,y,
dfgdfgdfgdfgdf,Parents Xmas celebrations,,2021-12-26 14:00:00-05:00,Sunday,y,
dfgdfgdfgdfgdf,CHECK FOR DMV DOCS,,2021-12-27 08:30:00-05:00,Monday,y,
dfgdsfsf,sav - total in ira? should we max out at 6?,,2021-12-27 15:00:00-05:00,Monday,y,
dfgdfgdfgdfgdf,sam / ciera arrangements,,2021-12-27 16:00:00-05:00,Monday,y,
dfgdfgdfgdfg,contact mark K,,2021-12-28 07:30:00-05:00,Tuesday,y,
dfgdfgdfgdfgd,auto email logs of the week idea,,2021-12-28 10:30:00-05:00,Tuesday,y,
dfgdfgdfgdfg,does sav still want to do a half marathon?,,2021-12-28 12:00:00-05:00,Tuesday,y,
sdfsdfsfdfsv,write back to baker stree,,2021-12-28 16:30:00-05:00,Tuesday,n,
sdfsdfsdfsdfsdf,Patient model,"1 year, 5 year, 10 year lookback on patients for db",2021-12-29 09:15:00-05:00,Wednesday,n,
sdfsdfsdfsdfsd,life sprint planning,,2021-12-29 12:00:00-05:00,Wednesday,y,
dfsdfsdfsdfsd,Transfer $$ transportation to Ally for 6 months,,2021-12-29 14:00:00-05:00,Wednesday,y,
xcvsdssdfsdfsdfsdfsdf,research savanah doubly insuranced?,,2021-12-29 17:30:00-05:00,Wednesday,n,
sdfavcvsg,pull down my google calendar events to a checklist so I can review if I did them or not,,2021-12-29 19:00:00-05:00,Wednesday,y,
gdfgdfgdfgdfgdfgdfg,rough draft of offages for 2022; letter to dave,,2021-12-30 12:00:00-05:00,Thursday,y,
sdfsdfsdfsdfsdfs,Check sav vanguard processing,,2021-12-30 14:00:00-05:00,Thursday,y,
sdfsfsdfdsf,follow back up with guys about luray lodging,,2021-12-31 08:30:00-05:00,Friday,y,
sdfsdfsafdf,Am I down to 14.4% BF?,,2022-01-01 09:30:00-05:00,Saturday,n,
sdfsdfsdfvsdvsd,"plan resources for ""big swings"" in life",,2022-01-02 17:00:00-05:00,Sunday,n,
